"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","expName","date","question_order","success","final_height_px","final_width_px","scale_factor","screenWidth_Inches","screenHeight_Inches","screenDiagonal_Inches","view_history","stimulus","key_press","FinalLinePosition","FaceType","TiltDirection","TubeType","timeViewing","timeMoving","timeHumanize","nHumanizeTrials","HumanizeImage","ViewingImage","MovingImage","isPractice","BreakLength"
"3795.97500001546","{}","survey-html-form","0","3800","0.0-0.0-0.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","","","","","","","","","","","","",""
"1205.1750000100583","{""age"":""22""}","survey-text","1","5008","0.0-0.0-1.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","","","","","","","","","","","","",""
"1390.1599999517202","{""sex"":""Male""}","survey-multi-choice","2","6399","0.0-0.0-2.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"627.184999990277","{""handedness"":""Right""}","survey-multi-choice","3","7027","0.0-0.0-3.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","4","8947","0.0-1.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","","true","","","","","","","","","","","","","","","","","","","","","",""
"","","davis-resize","5","10203","0.0-2.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","256","404","1.1970370370370371","14.970297029702971","9.296875","17.622192767166027","","","","","","","","","","","","","","","",""
"2507.805000001099","","instructions","6","12711","0.0-3.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","[{""page_index"":0,""viewing_time"":641.9500000192784},{""page_index"":1,""viewing_time"":347.67499996814877},{""page_index"":2,""viewing_time"":167.10000002058223},{""page_index"":3,""viewing_time"":140.0549999671057},{""page_index"":4,""viewing_time"":133.71500000357628},{""page_index"":5,""viewing_time"":132.32000003335997},{""page_index"":6,""viewing_time"":136.52499997988343},{""page_index"":7,""viewing_time"":141.1649999790825},{""page_index"":8,""viewing_time"":351.5000000479631},{""page_index"":9,""viewing_time"":315.4849999700673}]","","","","","","","","","","","","","","",""
"3922.6849999977276","{""CheckInstructionsAreUnderstood"":[""The tipping point is the theoretical angle where tipping a tube any further and letting go would cause the tube to fall on its side"",""If you tilt a tube, but not beyond its tipping point, and let go of it, it will fall back to its upright position"",""If you tilt a tube beyond its tipping point and let go of it, it will fall on its side"",""The shape and size of a paper tube determines its tipping point angle""]}","survey-multi-select","7","16636","0.0-4.0-0.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"633.9700000244193","","html-keyboard-response","8","17272","0.0-5.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","<div style=""max-width:600px"";><font size='+1'><p><b>Well done! All 4 statements were true.</b></p><u><p>Practice Trials</u></font></p><p>Remember: Your task is to find the tipping point angle of the paper tube using the <b>left</b> and <b>right</b> arrow keys, and you press the <b>space</b> to finalize your answer.</p><p>Press ""c"" to continue to the trials.</p></div>","67","","","","","","","","","","","","",""
"","","Davis-Tube-Tilt","9","19232","0.0-6.0-0.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","CO","LEFT","TF","765.6150000402704","430.2599999937229","753.5300000454299","1","images/Humanize/CO_TF.jpg","images/Viewing/CO_LEFT_TF.jpg","images/Moving/Closed_Open.jpg","true",""
