"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","expName","date","question_order","success","final_height_px","final_width_px","scale_factor","screenWidth_Inches","screenHeight_Inches","screenDiagonal_Inches","view_history","stimulus","key_press","FinalLinePosition","FaceType","TiltDirection","TubeType","timeViewing","timeMoving","timeHumanize","nHumanizeTrials","HumanizeImage","ViewingImage","MovingImage","isPractice","BreakLength"
"1050.0450000399724","{}","survey-html-form","0","1052","0.0-0.0-0.0","8w1uc","TubeTilt","2020-6-20-20-26-420","","","","","","","","","","","","","","","","","","","","","","","",""
"611.7850000155158","{""age"":""22""}","survey-text","1","1667","0.0-0.0-1.0","8w1uc","TubeTilt","2020-6-20-20-26-420","","","","","","","","","","","","","","","","","","","","","","","",""
"1491.4650000282563","{""sex"":""Male""}","survey-multi-choice","2","3160","0.0-0.0-2.0","8w1uc","TubeTilt","2020-6-20-20-26-420","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"2122.454999946058","{""handedness"":""Right""}","survey-multi-choice","3","5287","0.0-0.0-3.0","8w1uc","TubeTilt","2020-6-20-20-26-420","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","4","7118","0.0-1.0","8w1uc","TubeTilt","2020-6-20-20-26-420","","true","","","","","","","","","","","","","","","","","","","","","",""
"","","davis-resize","5","8119","0.0-2.0","8w1uc","TubeTilt","2020-6-20-20-26-420","","","256","404","1.1970370370370371","14.970297029702971","9.296875","17.622192767166027","","","","","","","","","","","","","","","",""
"8374.599999981001","","instructions","6","16494","0.0-3.0","8w1uc","TubeTilt","2020-6-20-20-26-420","","","","","","","","","[{""page_index"":0,""viewing_time"":968.1950000231154},{""page_index"":1,""viewing_time"":292.6799999549985},{""page_index"":2,""viewing_time"":280.7250000187196},{""page_index"":3,""viewing_time"":324.7749999864027},{""page_index"":4,""viewing_time"":307.4150000466034},{""page_index"":5,""viewing_time"":328.37499998277053},{""page_index"":6,""viewing_time"":323.02000001072884},{""page_index"":7,""viewing_time"":272.0199999748729},{""page_index"":6,""viewing_time"":206.05999999679625},{""page_index"":5,""viewing_time"":151.5050000161864},{""page_index"":4,""viewing_time"":162.0600000023842},{""page_index"":3,""viewing_time"":329.0149999666028},{""page_index"":2,""viewing_time"":306.97000003419816},{""page_index"":3,""viewing_time"":305.129999993369},{""page_index"":4,""viewing_time"":301.355000003241},{""page_index"":5,""viewing_time"":310.76999998185784},{""page_index"":6,""viewing_time"":302.094999991823},{""page_index"":7,""viewing_time"":305.945000029169},{""page_index"":8,""viewing_time"":1899.059999966994},{""page_index"":9,""viewing_time"":697.0950000104494}]","","","","","","","","","","","","","","",""
"5259.269999980461","{""CheckInstructionsAreUnderstood"":[""The tipping point is the theoretical angle where tipping a tube any further and letting go would cause the tube to fall on its side"",""If you tilt a tube, but not beyond its tipping point, and let go of it, it will fall back to its upright position"",""If you tilt a tube beyond its tipping point and let go of it, it will fall on its side""]}","survey-multi-select","7","21756","0.0-4.0-0.0","8w1uc","TubeTilt","2020-6-20-20-26-420","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"2892.9950000019744","{""CheckInstructionsAreUnderstood"":[""<syle style='color:darkgreen'>The tipping point is the theoretical angle where tipping a tube any further and letting go would cause the tube to fall on its side</style>"",""<syle style='color:darkgreen'>If you tilt a tube, but not beyond its tipping point, and let go of it, it will fall back to its upright position</style>"",""<syle style='color:darkgreen'>If you tilt a tube beyond its tipping point and let go of it, it will fall on its side</style>"",""The shape and size of a paper tube determines its tipping point angle""]}","survey-multi-select","8","27655","0.0-4.1-0.1","8w1uc","TubeTilt","2020-6-20-20-26-420","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"891.7699999874458","","html-keyboard-response","9","28551","0.0-5.0","8w1uc","TubeTilt","2020-6-20-20-26-420","","","","","","","","","","<div style=""max-width:600px"";><font size='+1'><p><b>Well done! All 4 statements were true.</b></p><u><p>Practice Trials</u></font></p><p>Remember: Your task is to find the tipping point angle of the paper tube using the <b>left</b> and <b>right</b> arrow keys, and you press the <b>space</b> to finalize your answer.</p><p>Press ""c"" to continue to the trials.</p></div>","67","","","","","","","","","","","","",""
