FinalLinePosition,FaceType,TiltDirection,TubeType,timeViewing,timeMoving,ViewingImage,MovingImage,isPractice
-2,CO,LEFT,TF,765.6150000402704,430.2599999937229,images/Viewing/CO_LEFT_TF.jpg,images/Moving/Closed_Open.jpg,true
2,OC,RIGHT,ST,795.3149999957532,155.765000032261,images/Viewing/OC_RIGHT_ST.jpg,images/Moving/Open_Closed.jpg,true
2,CO,RIGHT,TT,633.8899999973364,199.07999999122694,images/Viewing/CO_RIGHT_TT.jpg,images/Moving/Closed_Open.jpg,false
2,OC,RIGHT,TF,452.94000004651025,310.80500001553446,images/Viewing/OC_RIGHT_TF.jpg,images/Moving/Open_Closed.jpg,false
-2,CO,LEFT,ST,283.3049999899231,296.9300000113435,images/Viewing/CO_LEFT_ST.jpg,images/Moving/Closed_Open.jpg,false
-2,OC,LEFT,TF,852.9749999870546,429.6500000054948,images/Viewing/OC_LEFT_TF.jpg,images/Moving/Open_Closed.jpg,false
-2,OC,LEFT,SF,713.9549999847077,146.8800000147894,images/Viewing/OC_LEFT_SF.jpg,images/Moving/Open_Closed.jpg,false
2,CO,RIGHT,SF,253.9550000219606,468.8999999780208,images/Viewing/CO_RIGHT_SF.jpg,images/Moving/Closed_Open.jpg,false
2,OC,RIGHT,TT,576.6650000005029,488.0150000099093,images/Viewing/OC_RIGHT_TT.jpg,images/Moving/Open_Closed.jpg,false
2,CO,RIGHT,ST,1522.9249999974854,229.2800000286661,images/Viewing/CO_RIGHT_ST.jpg,images/Moving/Closed_Open.jpg,false
2,OC,RIGHT,SF,522.6050000055693,277.33499999158084,images/Viewing/OC_RIGHT_SF.jpg,images/Moving/Open_Closed.jpg,false
-2,CO,LEFT,TF,345.77499999431893,135.53500000853091,images/Viewing/CO_LEFT_TF.jpg,images/Moving/Closed_Open.jpg,false
-2,OC,LEFT,ST,779.2650000192225,136.57500001136214,images/Viewing/OC_LEFT_ST.jpg,images/Moving/Open_Closed.jpg,false
-2,CO,LEFT,TT,375.060000049416,426.34499998530373,images/Viewing/CO_LEFT_TT.jpg,images/Moving/Closed_Open.jpg,false
2,CO,RIGHT,TF,587.4399999738671,172.75999998673797,images/Viewing/CO_RIGHT_TF.jpg,images/Moving/Closed_Open.jpg,false
-2,CO,LEFT,SF,618.3700000401586,266.4849999709986,images/Viewing/CO_LEFT_SF.jpg,images/Moving/Closed_Open.jpg,false
-2,OC,LEFT,TT,658.0949999624863,70.88500005193055,images/Viewing/OC_LEFT_TT.jpg,images/Moving/Open_Closed.jpg,false
2,OC,RIGHT,ST,481.34500003652647,163.00500003853813,images/Viewing/OC_RIGHT_ST.jpg,images/Moving/Open_Closed.jpg,false
2,OC,RIGHT,TF,365.74999999720603,430.0950000179,images/Viewing/OC_RIGHT_TF.jpg,images/Moving/Open_Closed.jpg,false
-2,CO,LEFT,TT,239.8649999522604,162.45500004151836,images/Viewing/CO_LEFT_TT.jpg,images/Moving/Closed_Open.jpg,false
-2,OC,LEFT,TT,641.2149999523535,123.06499999249354,images/Viewing/OC_LEFT_TT.jpg,images/Moving/Open_Closed.jpg,false
4,CO,RIGHT,SF,1523.685000021942,453.5800000303425,images/Viewing/CO_RIGHT_SF.jpg,images/Moving/Closed_Open.jpg,false
-2,CO,LEFT,ST,416.0050000064075,142.46999996248633,images/Viewing/CO_LEFT_ST.jpg,images/Moving/Closed_Open.jpg,false
8,CO,RIGHT,ST,316.2599999923259,793.3649999904446,images/Viewing/CO_RIGHT_ST.jpg,images/Moving/Closed_Open.jpg,false
-2,OC,LEFT,TF,470.3999999910593,250.56999997468665,images/Viewing/OC_LEFT_TF.jpg,images/Moving/Open_Closed.jpg,false
-2,CO,LEFT,SF,362.1749999583699,780.0750000169501,images/Viewing/CO_LEFT_SF.jpg,images/Moving/Closed_Open.jpg,false
-2,OC,LEFT,ST,630.5649999994785,119.30999998003244,images/Viewing/OC_LEFT_ST.jpg,images/Moving/Open_Closed.jpg,false
-2,OC,LEFT,SF,162.18499996466562,152.11999998427927,images/Viewing/OC_LEFT_SF.jpg,images/Moving/Open_Closed.jpg,false
2,OC,RIGHT,TT,1007.5199999846518,156.66999999666587,images/Viewing/OC_RIGHT_TT.jpg,images/Moving/Open_Closed.jpg,false
2,CO,RIGHT,TF,674.8549999902025,184.3900000094436,images/Viewing/CO_RIGHT_TF.jpg,images/Moving/Closed_Open.jpg,false
2,CO,RIGHT,TT,548.8699999987148,152.14999997988343,images/Viewing/CO_RIGHT_TT.jpg,images/Moving/Closed_Open.jpg,false
2,OC,RIGHT,SF,464.3050000304356,152.05000003334135,images/Viewing/OC_RIGHT_SF.jpg,images/Moving/Open_Closed.jpg,false
4,OC,RIGHT,ST,398.96000002045184,578.4200000343844,images/Viewing/OC_RIGHT_ST.jpg,images/Moving/Open_Closed.jpg,false
-2,CO,LEFT,TF,477.565000008326,158.6949999909848,images/Viewing/CO_LEFT_TF.jpg,images/Moving/Closed_Open.jpg,false
