FinalLinePosition,FaceType,TiltDirection,TubeType,timeViewing,timeMoving,ViewingImage,MovingImage,isPractice
2,OC,RIGHT,SF,577.9200000106357,2306.979999993928,images/Viewing/OC_RIGHT_SF.jpg,images/Moving/Open_Closed.jpg,true
-36,OC,LEFT,ST,1841.260000015609,2017.969999986235,images/Viewing/OC_LEFT_ST.jpg,images/Moving/Open_Closed.jpg,true
-2,CO,LEFT,TF,1121.7250000336207,463.8999999733642,images/Viewing/CO_LEFT_TF.jpg,images/Moving/Closed_Open.jpg,false
-2,CO,LEFT,SF,3838.015000044834,431.80500000016764,images/Viewing/CO_LEFT_SF.jpg,images/Moving/Closed_Open.jpg,false
-34,OC,LEFT,TF,2213.835000002291,1987.6400000066496,images/Viewing/OC_LEFT_TF.jpg,images/Moving/Open_Closed.jpg,false
-32,OC,LEFT,TT,829.1999999783002,1747.8250000276603,images/Viewing/OC_LEFT_TT.jpg,images/Moving/Open_Closed.jpg,false
-2,CO,LEFT,TT,1484.3099999707192,708.5749999969266,images/Viewing/CO_LEFT_TT.jpg,images/Moving/Closed_Open.jpg,false
38,CO,RIGHT,SF,691.7699999758042,2181.1800000141375,images/Viewing/CO_RIGHT_SF.jpg,images/Moving/Closed_Open.jpg,false
2,OC,RIGHT,ST,1396.2699999683537,2060.174999991432,images/Viewing/OC_RIGHT_ST.jpg,images/Moving/Open_Closed.jpg,false
2,OC,RIGHT,TF,1151.979999965988,299.8300000326708,images/Viewing/OC_RIGHT_TF.jpg,images/Moving/Open_Closed.jpg,false
2,OC,RIGHT,TT,978.3100000349805,193.3100000023842,images/Viewing/OC_RIGHT_TT.jpg,images/Moving/Open_Closed.jpg,false
2,OC,RIGHT,SF,830.6800000136718,934.4799999962561,images/Viewing/OC_RIGHT_SF.jpg,images/Moving/Open_Closed.jpg,false
-44,OC,LEFT,ST,768.2299999869429,2301.640000019688,images/Viewing/OC_LEFT_ST.jpg,images/Moving/Open_Closed.jpg,false
-2,CO,LEFT,ST,925.0849999953061,275.80000000307336,images/Viewing/CO_LEFT_ST.jpg,images/Moving/Closed_Open.jpg,false
-32,OC,LEFT,SF,959.5949999638833,2543.579999997746,images/Viewing/OC_LEFT_SF.jpg,images/Moving/Open_Closed.jpg,false
36,CO,RIGHT,TT,5580.725000007078,2068.420000025071,images/Viewing/CO_RIGHT_TT.jpg,images/Moving/Closed_Open.jpg,false
36,CO,RIGHT,ST,2112.0499999960884,2017.409999971278,images/Viewing/CO_RIGHT_ST.jpg,images/Moving/Closed_Open.jpg,false
32,CO,RIGHT,TF,1044.6999999694526,1871.964999998454,images/Viewing/CO_RIGHT_TF.jpg,images/Moving/Closed_Open.jpg,false
-34,OC,LEFT,TF,634.554999996908,1842.0249999617226,images/Viewing/OC_LEFT_TF.jpg,images/Moving/Open_Closed.jpg,false
-2,CO,LEFT,TF,765.6900000292808,2683.924999961164,images/Viewing/CO_LEFT_TF.jpg,images/Moving/Closed_Open.jpg,false
2,OC,RIGHT,SF,972.1149999531917,1941.3299999432638,images/Viewing/OC_RIGHT_SF.jpg,images/Moving/Open_Closed.jpg,false
40,CO,RIGHT,ST,1054.4250000384636,2100.670000014361,images/Viewing/CO_RIGHT_ST.jpg,images/Moving/Closed_Open.jpg,false
-2,CO,LEFT,ST,994.4350000005215,270.8400000119582,images/Viewing/CO_LEFT_ST.jpg,images/Moving/Closed_Open.jpg,false
2,OC,RIGHT,TT,1301.9750000094064,753.0649999971502,images/Viewing/OC_RIGHT_TT.jpg,images/Moving/Open_Closed.jpg,false
34,CO,RIGHT,TT,1213.3100000210106,1977.9050000361167,images/Viewing/CO_RIGHT_TT.jpg,images/Moving/Closed_Open.jpg,false
2,OC,RIGHT,ST,1480.3199999732897,351.77000000840053,images/Viewing/OC_RIGHT_ST.jpg,images/Moving/Open_Closed.jpg,false
-34,OC,LEFT,TT,1209.8000000114553,1808.4149999776855,images/Viewing/OC_LEFT_TT.jpg,images/Moving/Open_Closed.jpg,false
44,CO,RIGHT,SF,1072.7099999785423,2304.0299999993294,images/Viewing/CO_RIGHT_SF.jpg,images/Moving/Closed_Open.jpg,false
36,CO,RIGHT,TF,1298.6650000093505,1943.10500001302,images/Viewing/CO_RIGHT_TF.jpg,images/Moving/Closed_Open.jpg,false
-2,CO,LEFT,TT,952.8549999813549,224.17500003939494,images/Viewing/CO_LEFT_TT.jpg,images/Moving/Closed_Open.jpg,false
2,OC,RIGHT,TF,838.3299999986775,1289.5900000003166,images/Viewing/OC_RIGHT_TF.jpg,images/Moving/Open_Closed.jpg,false
-36,OC,LEFT,ST,623.6600000411272,1855.7249999721535,images/Viewing/OC_LEFT_ST.jpg,images/Moving/Open_Closed.jpg,false
-36,OC,LEFT,SF,3099.1300000459887,3096.414999978151,images/Viewing/OC_LEFT_SF.jpg,images/Moving/Open_Closed.jpg,false
-2,CO,LEFT,SF,1015.5399999930523,233.35500003304332,images/Viewing/CO_LEFT_SF.jpg,images/Moving/Closed_Open.jpg,false
